,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress
45,Japan,2019-04-24,13,0,0,0,0,0,20,0,0,5,0,28,14,46,0,,25.2620528771385,0,0,0,0,0,49.6666666666668,0,0,10.2449888641425,0,59.0856206472756,29.7853810264385,,19,0,0,0,0,0,49,0,0,25,0,39,29
46,Japan,2019-04-25,27,0,0,0,0,0,20,0,5,5,0,37,9,47,0,,52.4673405909799,0,0,0,0,0,49.6666666666668,0,14.7014925373135,10.2449888641425,0,78.0774272838999,19.1477449455676,,39,0,0,0,0,0,49,0,56,25,0,51,19
47,Japan,2019-04-26,14,0,28,0,0,0,0,0,0,14,0,10,19,48,0,,27.2052877138414,0,66.062893081761,0,0,0,0,0,0,28.685968819599,0,21.102007374027,40.4230171073094,,20,0,40,0,0,0,0,0,0,70,0,14,40
48,Japan,2019-04-27,0,0,13,0,0,20,0,0,0,14,0,32,5,49,0,,0,0,30.6720575022462,0,0,40.8506787330316,0,0,0,28.685968819599,0,67.5264235968864,10.6376360808709,,0,0,19,0,0,33,0,0,0,70,0,44,10
49,Japan,2019-04-28,0,0,27,0,0,59,0,0,5,9,0,14,5,50,0,,0,0,63.7035040431266,0,0,120.509502262443,0,0,14.7014925373135,18.4409799554565,0,29.5428103236378,10.6376360808709,,0,0,39,0,0,98,0,0,56,45,0,19,10
50,Japan,2019-04-29,39,0,0,0,0,19,0,0,9,9,0,23,14,51,0,,75.7861586314154,0,0,0,0,38.80814479638,0,0,26.4626865671642,18.4409799554565,0,48.5346169602621,29.7853810264385,,57,0,0,0,0,32,0,0,100,45,0,32,29
51,Japan,2019-04-30,39,0,0,0,0,0,0,0,5,5,0,9,0,52,0,,75.7861586314154,0,0,0,0,0,0,0,14.7014925373135,10.2449888641425,0,18.9918066366243,0,,57,0,0,0,0,0,0,0,56,25,0,13,0
52,Japan,2019-05-01,13,0,0,0,0,0,20,0,0,0,0,18,9,53,0,,25.2620528771385,0,0,0,0,0,49.6666666666668,0,0,0,0,37.9836132732486,19.1477449455676,,19,0,0,0,0,0,49,0,0,0,0,25,19
53,Japan,2019-05-02,27,0,13,0,0,40,0,0,0,5,0,57,5,54,0,,52.4673405909799,0,30.6720575022462,0,0,81.7013574660632,0,0,0,10.2449888641425,0,120.281442031954,10.6376360808709,,39,0,19,0,0,67,0,0,0,25,0,79,10
54,Japan,2019-05-03,0,0,28,0,0,20,0,0,0,0,0,19,10,55,0,,0,0,66.062893081761,0,0,40.8506787330316,0,0,0,0,0,40.0938140106513,21.2752721617418,,0,0,40,0,0,33,0,0,0,0,0,26,21
55,Japan,2019-05-04,27,0,14,0,0,0,0,0,0,10,5,19,0,56,0,,52.4673405909799,0,33.0314465408805,0,0,0,0,0,0,20.489977728285,14.1071428571429,40.0938140106513,0,,39,0,20,0,0,0,0,0,0,50,56,26,0
56,Japan,2019-05-05,0,0,14,0,0,21,0,0,0,5,0,34,5,57,0,,0,0,33.0314465408805,0,0,42.8932126696832,0,0,0,10.2449888641425,0,71.7468250716918,10.6376360808709,,0,0,20,0,0,35,0,0,0,25,0,47,10
57,Japan,2019-05-06,0,0,27,0,0,0,0,0,5,0,5,57,5,58,0,,0,0,63.7035040431266,0,0,0,0,0,14.7014925373135,0,14.1071428571429,120.281442031954,10.6376360808709,,0,0,39,0,0,0,0,0,56,0,56,79,10
58,Japan,2019-05-07,14,0,56,0,0,21,0,0,0,0,0,39,19,59,0,,27.2052877138414,0,132.125786163522,0,0,42.8932126696832,0,0,0,0,0,82.2978287587053,40.4230171073094,,20,0,80,0,0,35,0,0,0,0,0,54,40
59,Japan,2019-05-08,28,0,0,0,0,21,0,0,0,10,0,68,20,60,0,,54.4105754276829,0,0,0,0,42.8932126696832,0,0,0,20.489977728285,0,143.493650143384,42.5505443234836,,41,0,0,0,0,35,0,0,0,50,0,94,42
60,Japan,2019-05-09,14,0,28,0,0,21,0,0,0,10,0,49,0,61,0,,27.2052877138414,0,66.062893081761,0,0,42.8932126696832,0,0,0,20.489977728285,0,103.399836132732,0,,20,0,40,0,0,35,0,0,0,50,0,68,0
61,Japan,2019-05-10,42,0,56,0,0,0,0,0,0,5,0,49,15,62,0,,81.6158631415243,0,132.125786163522,0,0,0,0,0,0,10.2449888641425,0,103.399836132732,31.9129082426127,,61,0,80,0,0,0,0,0,0,25,0,68,31
62,Japan,2019-05-11,28,0,14,0,0,21,0,0,5,5,5,35,10,63,0,,54.4105754276829,0,33.0314465408805,0,0,42.8932126696832,0,0,14.7014925373135,10.2449888641425,14.1071428571429,73.8570258090945,21.2752721617418,,41,0,20,0,0,35,0,0,56,25,56,49,21
63,Japan,2020-03-10,13,0,13,0,0,39,0,0,0,4,4,48,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Japan,2020-03-11,27,0,14,0,0,0,20,0,9,9,5,50,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Japan,2020-03-12,0,0,0,0,0,80,40,0,0,14,0,36,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Japan,2020-03-13,14,0,28,0,0,20,20,0,0,0,0,50,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Japan,2020-03-14,14,0,14,0,0,21,0,0,0,5,0,19,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Japan,2020-03-15,14,0,28,0,0,62,0,0,0,5,0,38,9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Japan,2020-03-16,41,0,55,0,0,0,0,0,0,9,0,41,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Japan,2020-03-17,14,0,28,0,0,20,20,0,0,14,0,55,14,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Japan,2020-03-18,28,0,42,0,0,0,0,0,0,28,5,60,18,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Japan,2020-03-19,27,0,14,0,0,0,0,0,9,14,5,45,14,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Japan,2020-03-20,14,0,14,0,0,0,0,0,0,9,0,56,9,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Japan,2020-03-21,14,0,0,0,0,0,21,0,0,10,5,5,10,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Japan,2020-03-22,0,0,14,0,0,61,0,0,0,19,0,56,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Japan,2020-03-23,13,0,27,0,0,20,20,0,4,9,4,67,22,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Japan,2020-03-24,0,0,0,14,0,20,20,0,0,14,0,55,9,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Japan,2020-03-25,70,0,28,0,0,0,0,0,0,9,0,60,5,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Japan,2020-03-26,28,0,14,0,0,0,0,0,5,14,0,56,23,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Japan,2020-03-27,40,0,27,0,0,0,20,0,9,0,0,36,9,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Japan,2020-03-28,0,0,14,0,0,20,0,0,5,9,0,42,0,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Japan,2020-03-29,14,0,55,0,0,20,20,0,0,14,5,32,5,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Japan,2020-03-30,40,0,27,13,0,0,0,0,4,13,9,40,31,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Japan,2020-03-31,54,0,0,13,0,20,0,0,0,9,4,49,18,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Japan,2020-04-01,0,0,27,0,0,20,0,0,13,9,4,22,27,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Japan,2020-04-02,14,0,0,0,0,59,0,0,0,9,9,40,18,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Japan,2020-04-03,0,0,27,0,0,20,40,0,0,9,0,54,9,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Japan,2020-04-04,14,0,0,0,0,41,0,0,0,5,0,14,0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Japan,2020-04-05,13,0,40,0,0,20,0,0,0,0,4,49,13,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Japan,2020-04-06,0,0,0,13,0,19,39,0,0,13,0,48,4,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Japan,2020-04-07,13,0,0,0,0,19,19,0,0,13,0,65,30,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Japan,2020-04-08,13,0,40,13,0,19,0,0,0,0,0,39,17,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Japan,2020-04-09,53,0,40,0,0,39,0,0,0,4,4,61,0,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Japan,2020-04-10,0,0,13,13,0,19,19,0,4,17,4,53,26,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Japan,2020-04-11,27,0,40,13,0,0,0,0,4,0,9,48,4,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Japan,2020-04-12,0,0,26,0,0,0,0,0,4,0,0,21,4,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Japan,2020-04-13,0,0,13,0,0,37,37,0,4,13,0,51,13,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
