,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year
113,Japan,2020-04-29,0,0,100,0,0,0,48,0,0,29,0,28,81,51,1
114,Japan,2020-04-30,49,0,36,0,0,0,43,0,0,25,24,61,61,52,1
115,Japan,2020-05-01,0,0,59,50,0,0,45,0,31,29,0,89,26,53,1
116,Japan,2020-05-02,73,0,80,0,0,24,0,0,0,0,24,68,26,54,1
117,Japan,2020-05-03,0,0,39,0,0,23,0,0,0,14,0,39,55,55,1
118,Japan,2020-05-04,34,0,0,0,0,0,0,0,0,14,24,69,13,56,1
119,Japan,2020-05-05,34,0,19,0,0,21,0,0,0,29,0,64,26,57,1
120,Japan,2020-05-06,33,0,0,0,100,64,0,0,31,0,0,53,39,58,1
121,Japan,2020-05-07,34,0,19,46,0,0,0,0,0,0,0,72,39,59,1
122,Japan,2020-05-08,17,0,58,46,0,45,0,0,0,14,24,55,39,60,1
123,Japan,2020-05-09,36,0,0,46,0,0,0,0,0,14,0,39,26,61,1
124,Japan,2020-05-10,54,0,59,0,0,23,0,0,31,0,0,62,13,62,1
125,Japan,2020-05-11,0,0,78,0,0,0,45,0,0,29,24,50,68,63,1
